StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q1,Q6,Q7,Q7_8_TEXT,Q8,Q9,Q10,Q10_6_TEXT,Q11,Q12,Q12_8_TEXT,Q15
2020-10-12 19:36:07,2020-10-12 19:37:18,IP Address,24.47.128.127,100,70,True,2020-10-12 19:37:18,R_Oqas6U6iLxVEqNX,,,,,40.39129638671875,-74.32469940185546875,anonymous,EN,Yes,10 minutes,1,5,2,3,6,4,No,Yes,"Watch a Video,Use a Cellphone,Sleep,Go Outside",,10 minutes,Yes,,,,,,I work productively if I take a break
2020-10-13 07:47:13,2020-10-13 07:50:28,IP Address,69.120.194.222,100,194,True,2020-10-13 07:50:28,R_2bN0ULJo41k1vl1,,,,,40.9456939697265625,-74.1826019287109375,anonymous,EN,Yes,5 minutes,5,4,2,1,6,3,No,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Go Outside,Other",I like to make a snack or listen to music.,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break"
2020-10-13 08:56:11,2020-10-13 08:57:27,IP Address,96.248.105.26,100,76,True,2020-10-13 08:57:28,R_yqY8EwM0qqasRHP,,,,,40.3343963623046875,-74.7949981689453125,anonymous,EN,Yes,30 minutes,1,4,3,5,6,2,Yes,Yes,"Physical Activity,Stretching,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 09:03:44,2020-10-13 09:06:44,IP Address,74.105.115.208,100,179,True,2020-10-13 09:06:44,R_3LjU6G8xNAP82aE,,,,,40.8805999755859375,-74.145599365234375,anonymous,EN,Yes,10 minutes,1,3,2,5,4,6,Yes,Yes,"Physical Activity,Stretching,Watch a Video,Go Outside,Other",Eat/drink,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-13 09:10:47,2020-10-13 09:12:14,IP Address,74.89.240.7,100,86,True,2020-10-13 09:12:14,R_2y402spPuhWWFuY,,,,,40.9033050537109375,-74.15789794921875,anonymous,EN,Yes,10 minutes,5,4,3,2,6,1,Yes,Yes,"Stretching,Watch a Video,Use a Cellphone",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break"
2020-10-13 09:20:33,2020-10-13 09:22:14,IP Address,71.53.151.152,100,100,True,2020-10-13 09:22:14,R_3MzJVw7E03A9rgW,,,,,41.07110595703125,-74.80680084228515625,anonymous,EN,Yes,5 minutes,1,2,3,4,6,5,Yes,Yes,"Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 09:23:49,2020-10-13 09:25:32,IP Address,24.186.45.51,100,102,True,2020-10-13 09:25:32,R_sMbETdKwRIhSc0x,,,,,40.945098876953125,-74.2530975341796875,anonymous,EN,Yes,10 minutes,3,5,4,1,6,2,Yes,Yes,"Physical Activity,Watch a Video,Use a Cellphone,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-13 09:36:21,2020-10-13 09:38:12,IP Address,68.193.253.68,100,110,True,2020-10-13 09:38:12,R_9LBQ4HQQFzWSiT7,,,,,41.0301055908203125,-74.29650115966796875,anonymous,EN,Yes,10 minutes,2,1,6,3,5,4,Yes,Yes,"Stretching,Use a Cellphone,Sleep",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break"
2020-10-13 11:51:37,2020-10-13 11:53:00,IP Address,98.109.211.220,100,83,True,2020-10-13 11:53:01,R_32PklDfBPTAOu4a,,,,,40.8805999755859375,-74.145599365234375,anonymous,EN,Yes,30 minutes,3,1,2,4,6,5,Yes,Yes,"Physical Activity,Stretching,Watch a Video,Use a Cellphone,Go Outside",,30 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can easily refocus after my break,I work productively if I take a break"
2020-10-13 11:51:44,2020-10-13 11:54:41,IP Address,74.102.105.120,100,176,True,2020-10-13 11:54:41,R_Pu2i4UWHGc1RJZf,,,,,40.7642974853515625,-74.14800262451171875,anonymous,EN,Yes,10 minutes,3,2,4,1,5,6,No,Yes,"Physical Activity,Watch a Video,Sleep,Other",Play an instrument *** my flute,30 minutes,No,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time,Other"
2020-10-13 11:52:49,2020-10-13 11:55:07,IP Address,173.70.146.120,100,137,True,2020-10-13 11:55:07,R_2dB9QC9aGoQYaWa,,,,,40.9456939697265625,-74.1826019287109375,anonymous,EN,Yes,10 minutes,5,3,4,1,6,2,No,Yes,"Watch a Video,Use a Cellphone,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break"
2020-10-13 11:52:01,2020-10-13 11:55:14,IP Address,69.114.188.180,100,193,True,2020-10-13 11:55:14,R_OfAX9NZSKEj5crL,,,,,40.8184967041015625,-74.15889739990234375,anonymous,EN,Yes,10 minutes,2,3,1,4,6,5,Yes,Yes,"Physical Activity,Stretching,Go Outside",,10 minutes,Yes,,,,,,I work productively if I take a break
2020-10-13 11:54:16,2020-10-13 11:56:03,IP Address,24.228.183.251,100,106,True,2020-10-13 11:56:03,R_2SlwJkTkzIef12U,,,,,40.5511016845703125,-74.460601806640625,anonymous,EN,Yes,10 minutes,3,6,2,5,1,4,No,Yes,Other,"I like to do chores during my breaks ",10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
2020-10-13 11:58:57,2020-10-13 12:00:13,IP Address,108.8.88.230,100,76,True,2020-10-13 12:00:13,R_2wB535kPASBJ457,,,,,40.7718048095703125,-74.20980072021484375,anonymous,EN,Yes,10 minutes,2,1,3,4,5,6,Yes,Yes,"Physical Activity,Stretching,Go Outside",,10 minutes,Yes,,,,,,"I can't stay focused for long periods of time,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 11:59:58,2020-10-13 12:01:44,IP Address,73.226.97.223,100,106,True,2020-10-13 12:01:44,R_1j88OBQjRnk7qq6,,,,,40.856597900390625,-74.838897705078125,anonymous,EN,Yes,longer than 30 minutes,6,4,5,1,3,2,No,Yes,"Watch a Video,Go Outside",,30 minutes,No,,,,,,I can't stay focused for long periods of time
2020-10-13 12:02:29,2020-10-13 12:03:41,IP Address,69.126.36.98,100,71,True,2020-10-13 12:03:41,R_1Cmg4yHpk5W6rsT,,,,,40.926605224609375,-74.18180084228515625,anonymous,EN,Yes,5 minutes,4,5,3,2,6,1,Yes,Yes,"Stretching,Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task,Go Outside",,10 minutes,Yes,,,,,,"I can easily refocus after my break,I work productively if I take a break,I can't sit still for long periods of time"
2020-10-13 12:03:22,2020-10-13 12:06:05,IP Address,24.189.154.212,100,162,True,2020-10-13 12:06:05,R_3Rm6jdm0H1f4dxG,,,,,40.8805999755859375,-74.145599365234375,anonymous,EN,Yes,10 minutes,6,4,5,2,3,1,No,Yes,"Watch a Video,Use a Cellphone,Do Work For Another Assignment/Task",,10 minutes,Yes,,,,,,I can't stay focused for long periods of time
2020-10-13 18:09:10,2020-10-13 18:10:56,IP Address,96.242.116.54,100,106,True,2020-10-13 18:10:57,R_2QmmKQPt5fFp857,,,,,40.8520050048828125,-74.28420257568359375,anonymous,EN,Yes,5 minutes,3,5,4,2,6,1,No,Yes,"Watch a Video,Use a Cellphone,Sleep",,10 minutes,No,,,,,,"I can't stay focused for long periods of time,I can't sit still for long periods of time"
